gutenberg_author_id,author,birthdate,deathdate
"8416","Collier, Price","1860","1913"
"37601","Carleton, George Washington","1832","1901"
"9757","Feller, Frank","1848","1908"
"38595","Corson, Caroline Rollin",,"1901"
"2201","Vera","1865",
"39684","Aughey, John H. (John Hill)","1828","1911"
"9726","Austin, Henry",,
"44460","Marten, Edward Bindon",,
"34193","Houssay, Frédéric","1860","1920"
"8947","Vawter, Will","1871","1941"
"53537","De Villiers, J. A. J. (John Abraham Jacob)","1863","1931"
"6092","Calderon, George","1868","1915"
"304","Browne, Thomas, Sir","1605","1682"
"4721","Fountainhall, John Lauder, Lord","1646","1722"
"32932","Pons de l'Hérault, André","1772","1853"
"35102","Scarborough, W. S. (William Sanders)","1852","1926"
"32413","Rogers, W. A. (William Allen)","1854","1931"
"6518","Hicks, Anna S.",,
"34317","Gannett, Ruth Stiles",,
"50614","Adams, O. S.",,
"31683","Stelwagon, Henry Weightman","1853","1919"
"55957","Stewart, Donald William",,
"48661","Lavender, David","1910","2003"
"36783","Hanmer, Thomas, Sir","1677","1746"
"45886","T. W. (Thomas Wilcox)","1622","1687"
"49464","Keményffi, Jenő","1875","1920"
"33133","Ward, C. S.",,
"7913","Pascal, Blaise","1623","1662"
"34530","Fox, Richard C.",,
"42737","American Library Association. General Meeting",,
"37184","Lambert, Henry Clifton",,
"34777","Hindenburg, Paul von","1847","1934"
"53590","Edwards, David W. (David William)","1849",
"42621","Melville, Velma Caldwell",,
"53102","Petrovics, Elek","1873","1945"
"35247","Buckland, E. S. Lang",,
"6103","Stomberg, Andrew A. (Andrew Adin)","1871","1943"
"43992","Fonvizin, D. I. (Denis Ivanovich)","1745","1792"
"44953","Morgan, Lady (Sydney)","1783","1859"
"3193","Bourne, Henry Eldridge","1862","1946"
"52568","Normandy, Georges (Georges Ch.)","1882","1946"
"25892","Hall, Edith King",,
"55147","Brent, Stuart",,
"56041","Wille, Bruno","1860","1928"
"7659","Mitchell, Donald Grant","1822","1908"
"53618","Pietilä, Fredrika","1837","1888"
"51764","Jenkins, Charles Christopher",,
"56902","Barker, M. H. (Matthew Henry)","1790","1846"
"52694","Kass, Hank",,
"50228","Webster, Edward Barton","1868","1936"
"42540","Lee, William","1778","1863"
"56502","Martyn, W. Carlos (William Carlos)","1841","1917"
"48535","Cooke, Conrad William","1843","1926"
"2478","England, George Allan","1877","1936"
"49913","Vaughan-Smith, Emilie",,
"54955","Vilas, Martin Samuel","1870","1953"
"47841","Rothman, David H.",,
"38341","International Meridian Conference (1884 : Washington, D.C.)",,
"41346","Nicholson, William","1753","1815"
"50099","Fitschen, Jost","1869","1947"
"35159","Love, John L.",,
"45028","Burnham, I. G.",,
"2182","Fischer, Kuno","1824","1907"
"51677","Louvet de Couvray, Jean-Baptiste","1760","1797"
"48197","Rössner, Georg Walter","1885","1972"
"1039","Joyce, James","1882","1941"
"34543","Hosius, Carl","1866","1937"
"52138","Auscher, Léon","1866","1943"
"48166","Corbett-Smith, Arthur","1879","1945"
"49431","Walsh, George E.",,
"56734","Kaari, Anna","1903","1987"
"40104","McGilchrist, John","1833","1891"
"46836","Kerslake, T. (Thomas)","1812","1891"
"39864","Siebold, Philipp Franz von","1796","1866"
"45904","Fleming, Sandford","1827","1915"
"45805","Cool, Catherina",,
"34916","De La Coste, Edmond","1788","1870"
"1144","Edwards, Owen Morgan, Sir","1858","1920"
"34955","Guelfi, Guelfo",,
"41682","Phipps, Ramsay Weston","1838","1923"
"54740","Green, Winifred","1871","1940"
"48640","Maud, Constance Elizabeth",,"1929"
"56740","Kelly, Eric P. (Eric Philbrook)","1884","1960"
"33320","Mills, Thomas Ross","1869",
"50386","Wilcox, Julius",,
"42969","Hamilton, Hans Claude","1811","1895"
"51104","Derain, André","1880","1954"
"54288","Azorín","1873","1967"
"44713","Wachenhusen, Hans","1823","1898"
"51113","Fourest, Georges","1867","1945"
"7585","Gay, Sophie","1776","1852"
"56771","Webster, John","1611","1682"
"809","Ossendowski, Ferdynand Antoni","1878","1945"
"48984","Ryan, E. Lee (Emily Lee)",,
"39985","Newby, C. J., Mrs.",,
"46284","Griffiths, Ann","1776","1805"
"38176","Adams, Edwin P. (Edwin Plimpton)","1878","1956"
"52633","Hämeenniemi, Hanna","1882","1942"
"42672","Dunlop, William","1792","1848"
"42310","Spence, William","1783","1860"
"37273","Sage, William","1864",
"3346","United States Marine Band",,
"48587","Bennett, Edward",,
"52178","Szomory, Dezső","1869","1944"
"36478","Martin, Absalom",,
"36803","Gordon, H. Laing (Henry Laing)",,
"3349","Parlow, Kathleen","1890","1963"
"35346","Stangland, Arthur G.","1908","1990"
"26461","Saunders, William","1822","1900"
"5406","Francisco, G. B. (Gabriel Beato)",,
"35866","Lusk, Graham","1866","1932"
"34773","Dhurandhar, M. V.",,
"51110","Phelps, Lillian",,
"43584","Sigea, Luisa",,
"52848","Montfort, Eugène","1877","1936"
"48862","Mary Agnes, Sister, O.S.B.",,
"32072","Williamson, A. W. (Andrew Woods)","1838","1905"
"44625","Norbury, Edwin A. (Edwin Arthur)","1849","1918"
"41645","Atherton, William",,
"42763","Martin, Minnie",,
"53070","Mirando, Michael",,
"45807","Sandilands, James Walter",,
"2603","Cannan, Gilbert","1884","1955"
"46309","Ficino, Marsilio","1433","1499"
"46144","Smith, Mary Campbell",,
"34033","Boigne, Louise-Eléonore-Charlotte-Adélaide d'Osmond, comtesse de","1781","1866"
"1497","Berkeley, George","1685","1753"
"2668","Wilkins, Harriet Annie","1829","1888"
"39765","Forge, Henry de",,
"591","Caine, Hall, Sir","1853","1931"
"4851","Landor, Arnold Henry Savage","1865","1924"
"48895","Gaze, Harold",,
"3319","Horne, Charles F. (Charles Francis)","1870","1942"
"44920","Dossi, Carlo","1849","1910"
